case_id,citizen_id,agency_id,case_type,status,opened_at
CASE-01322,CIT-06882,AGY-011,zoning_variance,open,2026-04-27
CASE-01323,CIT-07259,AGY-023,permit_review,pending_decision,2026-06-08
CASE-01324,CIT-06178,AGY-021,permit_review,under_review,2026-04-20
CASE-01325,CIT-01003,AGY-046,benefit_application,under_review,2026-01-19
CASE-01326,CIT-02171,AGY-032,zoning_variance,pending_decision,2026-03-02
CASE-01327,CIT-07426,AGY-047,benefit_application,pending_decision,2026-06-09
CASE-01328,CIT-07659,AGY-032,license_renewal,pending_decision,2026-07-22
CASE-01329,CIT-07278,AGY-049,license_renewal,pending_decision,2026-08-27
CASE-01330,CIT-04996,AGY-049,zoning_variance,open,2026-08-19
CASE-01331,CIT-06994,AGY-018,benefit_application,under_review,2026-02-07
CASE-01332,CIT-03908,AGY-047,zoning_variance,open,2026-07-13
CASE-01333,CIT-02209,AGY-010,permit_review,under_review,2026-08-19
CASE-01334,CIT-09015,AGY-012,benefit_application,closed,2026-02-28
CASE-01335,CIT-06850,AGY-012,license_renewal,closed,2026-03-09
CASE-01336,CIT-02923,AGY-031,permit_review,open,2026-04-11
CASE-01337,CIT-06196,AGY-014,license_renewal,pending_decision,2026-08-02
CASE-01338,CIT-03260,AGY-049,benefit_application,under_review,2026-07-05
CASE-01339,CIT-04801,AGY-012,license_renewal,closed,2026-01-07
CASE-01340,CIT-05159,AGY-005,permit_review,under_review,2026-06-06
CASE-01341,CIT-06302,AGY-031,license_renewal,closed,2026-04-16
CASE-01342,CIT-09692,AGY-048,permit_review,pending_decision,2026-05-11
CASE-01343,CIT-04429,AGY-035,permit_review,closed,2026-08-12
CASE-01344,CIT-02811,AGY-018,zoning_variance,closed,2026-04-14
CASE-01345,CIT-02598,AGY-027,benefit_application,under_review,2026-04-04
CASE-01346,CIT-05819,AGY-027,zoning_variance,closed,2026-04-06
CASE-01347,CIT-04684,AGY-042,benefit_application,open,2026-01-11
CASE-01348,CIT-01407,AGY-040,permit_review,under_review,2026-04-17
CASE-01349,CIT-05515,AGY-027,zoning_variance,open,2026-08-10
CASE-01350,CIT-06131,AGY-028,benefit_application,open,2026-05-26
CASE-01351,CIT-06796,AGY-047,license_renewal,open,2026-06-20
CASE-01352,CIT-02057,AGY-019,license_renewal,closed,2026-07-25
CASE-01353,CIT-03163,AGY-007,permit_review,under_review,2026-05-22
CASE-01354,CIT-08138,AGY-005,license_renewal,pending_decision,2026-08-12
CASE-01355,CIT-04398,AGY-031,zoning_variance,pending_decision,2026-03-25
CASE-01356,CIT-05980,AGY-050,permit_review,under_review,2026-04-08
CASE-01357,CIT-02413,AGY-050,zoning_variance,pending_decision,2026-08-28
CASE-01358,CIT-08733,AGY-048,permit_review,closed,2026-04-15
CASE-01359,CIT-05783,AGY-031,permit_review,open,2026-06-22
CASE-01360,CIT-04004,AGY-045,permit_review,closed,2026-01-23
CASE-01361,CIT-08628,AGY-047,zoning_variance,pending_decision,2026-01-18
CASE-01362,CIT-04969,AGY-027,permit_review,under_review,2026-05-05
CASE-01363,CIT-00591,AGY-020,permit_review,under_review,2026-06-11
CASE-01364,CIT-01943,AGY-014,benefit_application,under_review,2026-03-15
CASE-01365,CIT-05670,AGY-041,zoning_variance,open,2026-06-24
CASE-01366,CIT-04292,AGY-028,zoning_variance,pending_decision,2026-05-05
CASE-01367,CIT-04373,AGY-020,license_renewal,closed,2026-03-27
CASE-01368,CIT-00515,AGY-039,benefit_application,open,2026-06-08
CASE-01369,CIT-09416,AGY-012,benefit_application,under_review,2026-08-22
CASE-01370,CIT-04217,AGY-007,permit_review,pending_decision,2026-04-22
CASE-01371,CIT-01866,AGY-025,license_renewal,closed,2026-05-25
CASE-01372,CIT-01269,AGY-042,benefit_application,under_review,2026-05-14
CASE-01373,CIT-08212,AGY-029,benefit_application,open,2026-02-19
CASE-01374,CIT-04039,AGY-024,license_renewal,closed,2026-03-17
CASE-01375,CIT-06481,AGY-009,license_renewal,under_review,2026-06-25
CASE-01376,CIT-01667,AGY-050,permit_review,closed,2026-03-05
CASE-01377,CIT-05927,AGY-030,zoning_variance,pending_decision,2026-07-07
CASE-01378,CIT-03791,AGY-011,permit_review,pending_decision,2026-07-05
CASE-01379,CIT-09587,AGY-006,benefit_application,pending_decision,2026-02-23
CASE-01380,CIT-01927,AGY-019,permit_review,pending_decision,2026-02-09
CASE-01381,CIT-04418,AGY-010,benefit_application,pending_decision,2026-01-25
CASE-01382,CIT-08836,AGY-047,benefit_application,under_review,2026-04-26
CASE-01383,CIT-09459,AGY-024,permit_review,pending_decision,2026-05-24
CASE-01384,CIT-03671,AGY-009,license_renewal,closed,2026-06-16
CASE-01385,CIT-03964,AGY-035,permit_review,under_review,2026-05-20
CASE-01386,CIT-08824,AGY-040,license_renewal,pending_decision,2026-02-20
CASE-01387,CIT-08528,AGY-034,permit_review,pending_decision,2026-05-14
CASE-01388,CIT-04404,AGY-036,zoning_variance,under_review,2026-03-20
CASE-01389,CIT-01412,AGY-049,permit_review,under_review,2026-04-26
CASE-01390,CIT-03181,AGY-020,license_renewal,under_review,2026-04-03
CASE-01391,CIT-03997,AGY-009,permit_review,open,2026-07-09
CASE-01392,CIT-05460,AGY-048,benefit_application,pending_decision,2026-05-22
CASE-01393,CIT-05352,AGY-032,zoning_variance,open,2026-02-24
CASE-01394,CIT-01287,AGY-047,permit_review,pending_decision,2026-06-02
CASE-01395,CIT-07311,AGY-003,license_renewal,under_review,2026-05-04
CASE-01396,CIT-07023,AGY-027,benefit_application,under_review,2026-02-15
CASE-01397,CIT-03807,AGY-044,permit_review,closed,2026-02-09
CASE-01398,CIT-07135,AGY-033,benefit_application,under_review,2026-08-10
CASE-01399,CIT-06674,AGY-004,zoning_variance,closed,2026-01-12
CASE-01400,CIT-01342,AGY-006,license_renewal,pending_decision,2026-02-25
CASE-01401,CIT-09469,AGY-039,zoning_variance,open,2026-04-02
CASE-01402,CIT-00102,AGY-007,permit_review,pending_decision,2026-08-05
CASE-01403,CIT-08130,AGY-045,zoning_variance,closed,2026-04-17
CASE-01404,CIT-05968,AGY-042,license_renewal,pending_decision,2026-04-03
CASE-01405,CIT-01874,AGY-036,license_renewal,open,2026-06-25
CASE-01406,CIT-08653,AGY-024,benefit_application,closed,2026-08-16
CASE-01407,CIT-00917,AGY-019,benefit_application,closed,2026-06-26
CASE-01408,CIT-06486,AGY-026,license_renewal,open,2026-07-13
CASE-01409,CIT-08659,AGY-047,benefit_application,pending_decision,2026-06-20
CASE-01410,CIT-07198,AGY-038,license_renewal,open,2026-05-25
CASE-01411,CIT-02463,AGY-047,benefit_application,pending_decision,2026-08-09
CASE-01412,CIT-01805,AGY-032,license_renewal,under_review,2026-05-19
CASE-01413,CIT-05402,AGY-046,benefit_application,under_review,2026-01-26
CASE-01414,CIT-05882,AGY-036,zoning_variance,under_review,2026-08-26
CASE-01415,CIT-09925,AGY-004,benefit_application,closed,2026-06-07
CASE-01416,CIT-04208,AGY-043,license_renewal,closed,2026-02-25
CASE-01417,CIT-02572,AGY-037,zoning_variance,open,2026-03-14
CASE-01418,CIT-03076,AGY-049,zoning_variance,under_review,2026-04-10
CASE-01419,CIT-03089,AGY-031,license_renewal,pending_decision,2026-03-18
CASE-01420,CIT-00035,AGY-034,benefit_application,open,2026-05-03
CASE-01421,CIT-06050,AGY-030,permit_review,open,2026-01-24
CASE-01422,CIT-01468,AGY-048,license_renewal,open,2026-03-13
CASE-01423,CIT-06687,AGY-043,zoning_variance,open,2026-01-28
CASE-01424,CIT-08761,AGY-001,benefit_application,under_review,2026-03-01
CASE-01425,CIT-00617,AGY-036,license_renewal,under_review,2026-05-23
CASE-01426,CIT-01711,AGY-005,license_renewal,under_review,2026-07-21
CASE-01427,CIT-04240,AGY-041,zoning_variance,pending_decision,2026-05-06
CASE-01428,CIT-05478,AGY-040,zoning_variance,closed,2026-01-09
CASE-01429,CIT-04073,AGY-034,license_renewal,pending_decision,2026-03-25
CASE-01430,CIT-06261,AGY-029,license_renewal,under_review,2026-01-21
CASE-01431,CIT-02240,AGY-014,zoning_variance,under_review,2026-05-16
CASE-01432,CIT-09137,AGY-032,benefit_application,open,2026-01-12
CASE-01433,CIT-07268,AGY-007,permit_review,open,2026-07-14
CASE-01434,CIT-05498,AGY-004,zoning_variance,pending_decision,2026-05-02
CASE-01435,CIT-02709,AGY-021,benefit_application,under_review,2026-07-02
CASE-01436,CIT-01718,AGY-017,zoning_variance,pending_decision,2026-03-24
CASE-01437,CIT-07146,AGY-033,benefit_application,under_review,2026-08-20
CASE-01438,CIT-04715,AGY-021,license_renewal,under_review,2026-02-18
CASE-01439,CIT-06988,AGY-049,benefit_application,pending_decision,2026-06-19
CASE-01440,CIT-01598,AGY-034,license_renewal,pending_decision,2026-01-11
CASE-01441,CIT-01106,AGY-024,benefit_application,pending_decision,2026-07-24
CASE-01442,CIT-04074,AGY-049,benefit_application,open,2026-02-07
CASE-01443,CIT-01439,AGY-050,zoning_variance,open,2026-07-22
CASE-01444,CIT-01959,AGY-034,benefit_application,under_review,2026-06-28
CASE-01445,CIT-05596,AGY-032,license_renewal,under_review,2026-08-08
CASE-01446,CIT-04494,AGY-017,benefit_application,under_review,2026-03-22
CASE-01447,CIT-03074,AGY-017,zoning_variance,open,2026-03-14
CASE-01448,CIT-07158,AGY-019,benefit_application,pending_decision,2026-04-12
CASE-01449,CIT-09092,AGY-044,license_renewal,under_review,2026-04-25
CASE-01450,CIT-05085,AGY-006,benefit_application,open,2026-04-24
CASE-01451,CIT-06910,AGY-019,license_renewal,closed,2026-03-14
CASE-01452,CIT-03196,AGY-023,permit_review,under_review,2026-03-11
CASE-01453,CIT-06733,AGY-023,zoning_variance,pending_decision,2026-01-23
CASE-01454,CIT-05249,AGY-011,benefit_application,pending_decision,2026-04-10
CASE-01455,CIT-08261,AGY-019,permit_review,closed,2026-02-20
CASE-01456,CIT-09496,AGY-010,zoning_variance,open,2026-04-07
CASE-01457,CIT-03238,AGY-016,license_renewal,under_review,2026-06-03
CASE-01458,CIT-00937,AGY-027,zoning_variance,pending_decision,2026-02-05
CASE-01459,CIT-05268,AGY-041,zoning_variance,under_review,2026-05-27
CASE-01460,CIT-01043,AGY-022,benefit_application,open,2026-06-11
CASE-01461,CIT-02938,AGY-045,benefit_application,pending_decision,2026-08-08
CASE-01462,CIT-03734,AGY-035,zoning_variance,under_review,2026-04-02
CASE-01463,CIT-02443,AGY-029,permit_review,open,2026-07-21
CASE-01464,CIT-05010,AGY-029,benefit_application,pending_decision,2026-05-23
CASE-01465,CIT-09524,AGY-017,benefit_application,closed,2026-06-17
CASE-01466,CIT-08772,AGY-027,license_renewal,open,2026-04-19
CASE-01467,CIT-03644,AGY-034,permit_review,open,2026-01-27
CASE-01468,CIT-05874,AGY-027,permit_review,pending_decision,2026-04-02
CASE-01469,CIT-08239,AGY-016,zoning_variance,closed,2026-08-20
CASE-01470,CIT-07032,AGY-036,benefit_application,open,2026-08-13
CASE-01471,CIT-03677,AGY-005,zoning_variance,closed,2026-05-04
CASE-01472,CIT-02738,AGY-048,benefit_application,open,2026-06-10
CASE-01473,CIT-04774,AGY-013,zoning_variance,closed,2026-07-05
CASE-01474,CIT-00306,AGY-027,zoning_variance,open,2026-06-25
CASE-01475,CIT-02075,AGY-016,benefit_application,open,2026-02-15
CASE-01476,CIT-06627,AGY-030,benefit_application,pending_decision,2026-02-16
CASE-01477,CIT-06794,AGY-029,permit_review,under_review,2026-06-20
CASE-01478,CIT-09239,AGY-008,benefit_application,under_review,2026-06-06
CASE-01479,CIT-04748,AGY-020,benefit_application,open,2026-04-10
CASE-01480,CIT-00081,AGY-034,permit_review,under_review,2026-04-10
CASE-01481,CIT-00411,AGY-008,zoning_variance,open,2026-05-28
CASE-01482,CIT-03873,AGY-026,license_renewal,under_review,2026-06-18
CASE-01483,CIT-01983,AGY-049,permit_review,pending_decision,2026-03-27
CASE-01484,CIT-02871,AGY-002,benefit_application,under_review,2026-01-04
CASE-01485,CIT-01569,AGY-033,zoning_variance,under_review,2026-06-19
CASE-01486,CIT-09429,AGY-032,license_renewal,under_review,2026-01-04
CASE-01487,CIT-08496,AGY-042,zoning_variance,pending_decision,2026-06-24
CASE-01488,CIT-01514,AGY-020,benefit_application,under_review,2026-04-10
CASE-01489,CIT-00727,AGY-027,permit_review,closed,2026-07-18
CASE-01490,CIT-01349,AGY-026,permit_review,closed,2026-02-27
CASE-01491,CIT-08609,AGY-028,license_renewal,pending_decision,2026-04-10
CASE-01492,CIT-09461,AGY-026,benefit_application,open,2026-03-04
CASE-01493,CIT-09192,AGY-028,zoning_variance,pending_decision,2026-04-26
CASE-01494,CIT-00309,AGY-028,license_renewal,under_review,2026-01-03
CASE-01495,CIT-04960,AGY-035,license_renewal,open,2026-08-18
CASE-01496,CIT-02521,AGY-034,license_renewal,pending_decision,2026-05-17
CASE-01497,CIT-01632,AGY-020,zoning_variance,closed,2026-08-25
CASE-01498,CIT-05919,AGY-043,license_renewal,open,2026-05-24
CASE-01499,CIT-04690,AGY-044,benefit_application,closed,2026-01-10
CASE-01500,CIT-01073,AGY-046,zoning_variance,closed,2026-07-17
CASE-01501,CIT-06968,AGY-013,license_renewal,under_review,2026-08-15
CASE-01502,CIT-05221,AGY-012,permit_review,open,2026-02-16
CASE-01503,CIT-04873,AGY-009,benefit_application,closed,2026-04-23
CASE-01504,CIT-06499,AGY-005,benefit_application,pending_decision,2026-01-26
CASE-01505,CIT-05710,AGY-048,permit_review,closed,2026-06-14
CASE-01506,CIT-04239,AGY-050,license_renewal,closed,2026-01-16
CASE-01507,CIT-09717,AGY-020,zoning_variance,open,2026-07-17
CASE-01508,CIT-00314,AGY-020,zoning_variance,pending_decision,2026-06-08
CASE-01509,CIT-08814,AGY-041,benefit_application,pending_decision,2026-03-02
CASE-01510,CIT-03809,AGY-037,benefit_application,under_review,2026-02-06
CASE-01511,CIT-03750,AGY-005,permit_review,pending_decision,2026-04-08
CASE-01512,CIT-03275,AGY-025,permit_review,open,2026-04-27
CASE-01513,CIT-01238,AGY-044,permit_review,open,2026-04-01
CASE-01514,CIT-03696,AGY-019,permit_review,closed,2026-06-16
CASE-01515,CIT-07378,AGY-018,benefit_application,pending_decision,2026-02-05
CASE-01516,CIT-03892,AGY-017,zoning_variance,pending_decision,2026-08-07
CASE-01517,CIT-03204,AGY-013,benefit_application,open,2026-04-06
CASE-01518,CIT-08356,AGY-032,zoning_variance,pending_decision,2026-07-11
CASE-01519,CIT-09256,AGY-049,zoning_variance,pending_decision,2026-03-23
CASE-01520,CIT-01225,AGY-014,permit_review,pending_decision,2026-03-05
CASE-01521,CIT-09039,AGY-006,permit_review,closed,2026-08-19
CASE-01522,CIT-02828,AGY-003,license_renewal,pending_decision,2026-03-16
CASE-01523,CIT-06816,AGY-010,license_renewal,pending_decision,2026-04-06
CASE-01524,CIT-09704,AGY-002,license_renewal,open,2026-06-10
CASE-01525,CIT-03227,AGY-033,benefit_application,open,2026-06-27
CASE-01526,CIT-05539,AGY-011,permit_review,under_review,2026-01-20
CASE-01527,CIT-09895,AGY-042,license_renewal,under_review,2026-08-03
CASE-01528,CIT-05296,AGY-002,benefit_application,under_review,2026-06-03
CASE-01529,CIT-04549,AGY-024,zoning_variance,pending_decision,2026-05-02
CASE-01530,CIT-05746,AGY-028,permit_review,under_review,2026-01-25
CASE-01531,CIT-01719,AGY-034,zoning_variance,closed,2026-01-27
CASE-01532,CIT-09494,AGY-028,benefit_application,closed,2026-04-12
CASE-01533,CIT-00153,AGY-041,permit_review,closed,2026-06-22
CASE-01534,CIT-04231,AGY-038,permit_review,pending_decision,2026-06-18
CASE-01535,CIT-05897,AGY-045,benefit_application,closed,2026-06-19
CASE-01536,CIT-03286,AGY-040,license_renewal,open,2026-01-19
CASE-01537,CIT-08243,AGY-010,zoning_variance,under_review,2026-03-28
CASE-01538,CIT-05251,AGY-040,license_renewal,under_review,2026-07-27
CASE-01539,CIT-08676,AGY-043,permit_review,pending_decision,2026-02-04
CASE-01540,CIT-07408,AGY-012,permit_review,pending_decision,2026-02-07
CASE-01541,CIT-08578,AGY-001,permit_review,open,2026-05-13
CASE-01542,CIT-09586,AGY-025,benefit_application,open,2026-08-11
CASE-01543,CIT-04805,AGY-021,zoning_variance,pending_decision,2026-01-02
CASE-01544,CIT-01394,AGY-025,zoning_variance,open,2026-06-25
CASE-01545,CIT-08723,AGY-031,permit_review,closed,2026-04-28
CASE-01546,CIT-09859,AGY-040,permit_review,open,2026-01-22
CASE-01547,CIT-07353,AGY-022,permit_review,under_review,2026-05-16
CASE-01548,CIT-06401,AGY-034,zoning_variance,closed,2026-07-19
CASE-01549,CIT-00121,AGY-017,permit_review,closed,2026-05-16
CASE-01550,CIT-09476,AGY-034,benefit_application,closed,2026-02-16
CASE-01551,CIT-07553,AGY-036,zoning_variance,under_review,2026-04-17
CASE-01552,CIT-01979,AGY-001,license_renewal,open,2026-02-03
CASE-01553,CIT-04188,AGY-036,benefit_application,closed,2026-01-28
CASE-01554,CIT-09368,AGY-006,license_renewal,under_review,2026-07-22
CASE-01555,CIT-07943,AGY-032,benefit_application,open,2026-08-08
CASE-01556,CIT-09031,AGY-033,zoning_variance,open,2026-08-04
CASE-01557,CIT-00328,AGY-042,license_renewal,open,2026-04-06
CASE-01558,CIT-09647,AGY-011,zoning_variance,closed,2026-05-20
CASE-01559,CIT-01871,AGY-047,benefit_application,open,2026-01-20
CASE-01560,CIT-03957,AGY-014,benefit_application,open,2026-06-17
CASE-01561,CIT-05584,AGY-036,license_renewal,pending_decision,2026-02-15
CASE-01562,CIT-05747,AGY-008,benefit_application,under_review,2026-07-28
CASE-01563,CIT-01788,AGY-001,license_renewal,under_review,2026-04-24
CASE-01564,CIT-01954,AGY-047,permit_review,pending_decision,2026-07-08
CASE-01565,CIT-04541,AGY-009,zoning_variance,closed,2026-07-20
CASE-01566,CIT-09539,AGY-050,zoning_variance,open,2026-04-05
CASE-01567,CIT-07550,AGY-019,license_renewal,pending_decision,2026-08-05
CASE-01568,CIT-00156,AGY-046,benefit_application,pending_decision,2026-06-17
CASE-01569,CIT-07642,AGY-002,permit_review,under_review,2026-02-11
CASE-01570,CIT-06282,AGY-041,zoning_variance,open,2026-07-06
CASE-01571,CIT-02674,AGY-002,benefit_application,pending_decision,2026-04-21
CASE-01572,CIT-07994,AGY-050,zoning_variance,open,2026-08-17
CASE-01573,CIT-05106,AGY-024,license_renewal,open,2026-08-01
CASE-01574,CIT-01094,AGY-049,license_renewal,closed,2026-05-21
CASE-01575,CIT-09863,AGY-002,benefit_application,pending_decision,2026-04-11
CASE-01576,CIT-06346,AGY-037,benefit_application,pending_decision,2026-02-27
CASE-01577,CIT-05923,AGY-019,benefit_application,under_review,2026-01-13
CASE-01578,CIT-07375,AGY-016,license_renewal,open,2026-03-16
CASE-01579,CIT-04800,AGY-044,permit_review,pending_decision,2026-02-20
CASE-01580,CIT-02613,AGY-018,permit_review,under_review,2026-04-09
CASE-01581,CIT-08444,AGY-046,benefit_application,open,2026-05-05
CASE-01582,CIT-07863,AGY-048,zoning_variance,pending_decision,2026-03-27
CASE-01583,CIT-00528,AGY-021,permit_review,pending_decision,2026-08-17
CASE-01584,CIT-05182,AGY-023,permit_review,open,2026-03-14
CASE-01585,CIT-01737,AGY-038,zoning_variance,closed,2026-07-22
CASE-01586,CIT-05947,AGY-024,license_renewal,closed,2026-07-22
CASE-01587,CIT-02967,AGY-020,permit_review,under_review,2026-08-27
CASE-01588,CIT-05755,AGY-042,license_renewal,under_review,2026-05-19
CASE-01589,CIT-01520,AGY-014,zoning_variance,under_review,2026-01-04
CASE-01590,CIT-02719,AGY-044,permit_review,under_review,2026-03-18
CASE-01591,CIT-00290,AGY-007,benefit_application,pending_decision,2026-02-22
CASE-01592,CIT-01036,AGY-009,permit_review,pending_decision,2026-08-27
CASE-01593,CIT-06645,AGY-039,permit_review,under_review,2026-07-09
CASE-01594,CIT-07537,AGY-044,license_renewal,closed,2026-04-21
CASE-01595,CIT-09454,AGY-047,license_renewal,open,2026-03-06
CASE-01596,CIT-05961,AGY-037,license_renewal,open,2026-03-28
CASE-01597,CIT-08920,AGY-029,permit_review,closed,2026-03-19
CASE-01598,CIT-07279,AGY-017,benefit_application,pending_decision,2026-03-18
CASE-01599,CIT-09474,AGY-004,permit_review,closed,2026-04-16
CASE-01600,CIT-07401,AGY-046,license_renewal,pending_decision,2026-06-12
CASE-01601,CIT-01064,AGY-010,zoning_variance,pending_decision,2026-03-01
CASE-01602,CIT-00849,AGY-024,benefit_application,under_review,2026-08-27
CASE-01603,CIT-05707,AGY-034,benefit_application,closed,2026-05-04
CASE-01604,CIT-02505,AGY-012,permit_review,closed,2026-08-19
CASE-01605,CIT-02259,AGY-039,permit_review,closed,2026-06-23
CASE-01606,CIT-05004,AGY-009,permit_review,pending_decision,2026-03-06
CASE-01607,CIT-04489,AGY-016,permit_review,open,2026-03-16
CASE-01608,CIT-08574,AGY-007,zoning_variance,closed,2026-04-10
CASE-01609,CIT-03400,AGY-043,license_renewal,pending_decision,2026-01-02
CASE-01610,CIT-04904,AGY-047,benefit_application,under_review,2026-08-14
CASE-01611,CIT-02168,AGY-003,permit_review,closed,2026-01-04
CASE-01612,CIT-02866,AGY-033,permit_review,under_review,2026-04-24
CASE-01613,CIT-08063,AGY-050,permit_review,open,2026-06-16
CASE-01614,CIT-05035,AGY-036,benefit_application,pending_decision,2026-05-20
CASE-01615,CIT-08852,AGY-033,license_renewal,under_review,2026-04-01
CASE-01616,CIT-02091,AGY-049,benefit_application,open,2026-06-05
CASE-01617,CIT-09411,AGY-024,license_renewal,under_review,2026-01-06
CASE-01618,CIT-04378,AGY-009,zoning_variance,pending_decision,2026-08-15
CASE-01619,CIT-06848,AGY-029,benefit_application,closed,2026-01-04
CASE-01620,CIT-02630,AGY-024,benefit_application,pending_decision,2026-04-16
CASE-01621,CIT-09649,AGY-005,benefit_application,under_review,2026-03-20
CASE-01622,CIT-09295,AGY-011,license_renewal,closed,2026-06-16
CASE-01623,CIT-07928,AGY-026,license_renewal,open,2026-02-18
CASE-01624,CIT-01194,AGY-018,permit_review,open,2026-02-11
CASE-01625,CIT-07535,AGY-009,license_renewal,pending_decision,2026-04-17
CASE-01626,CIT-02788,AGY-047,permit_review,pending_decision,2026-04-04
CASE-01627,CIT-08552,AGY-002,license_renewal,closed,2026-05-19
CASE-01628,CIT-08602,AGY-026,benefit_application,pending_decision,2026-08-14
CASE-01629,CIT-04034,AGY-030,license_renewal,under_review,2026-06-22
CASE-01630,CIT-00854,AGY-037,license_renewal,pending_decision,2026-01-22
CASE-01631,CIT-00669,AGY-048,license_renewal,pending_decision,2026-02-06
CASE-01632,CIT-03893,AGY-005,benefit_application,pending_decision,2026-08-28
CASE-01633,CIT-01941,AGY-029,zoning_variance,under_review,2026-05-13
CASE-01634,CIT-09112,AGY-049,benefit_application,open,2026-03-14
CASE-01635,CIT-09527,AGY-023,benefit_application,closed,2026-01-08
CASE-01636,CIT-09849,AGY-031,permit_review,closed,2026-04-06
CASE-01637,CIT-08998,AGY-023,zoning_variance,open,2026-02-13
CASE-01638,CIT-09306,AGY-045,permit_review,under_review,2026-06-08
CASE-01639,CIT-02482,AGY-015,zoning_variance,under_review,2026-06-12
CASE-01640,CIT-07576,AGY-007,permit_review,pending_decision,2026-02-15
CASE-01641,CIT-03837,AGY-001,license_renewal,closed,2026-06-04
CASE-01642,CIT-06183,AGY-006,license_renewal,open,2026-06-03
CASE-01643,CIT-08263,AGY-040,license_renewal,closed,2026-01-04
CASE-01644,CIT-04157,AGY-030,permit_review,pending_decision,2026-02-17
CASE-01645,CIT-04694,AGY-001,zoning_variance,closed,2026-01-22
CASE-01646,CIT-06754,AGY-037,permit_review,under_review,2026-04-07
CASE-01647,CIT-09333,AGY-050,benefit_application,pending_decision,2026-04-20
CASE-01648,CIT-02776,AGY-038,benefit_application,closed,2026-01-05
CASE-01649,CIT-03699,AGY-013,license_renewal,closed,2026-04-10
CASE-01650,CIT-07767,AGY-025,zoning_variance,under_review,2026-07-01
CASE-01651,CIT-05602,AGY-007,benefit_application,pending_decision,2026-05-02
CASE-01652,CIT-00624,AGY-011,license_renewal,pending_decision,2026-03-08
CASE-01653,CIT-02799,AGY-040,zoning_variance,pending_decision,2026-08-18
CASE-01654,CIT-05504,AGY-014,zoning_variance,closed,2026-02-14
CASE-01655,CIT-06601,AGY-027,benefit_application,open,2026-03-04
CASE-01656,CIT-09394,AGY-049,benefit_application,closed,2026-06-28
CASE-01657,CIT-05619,AGY-042,benefit_application,closed,2026-05-23
CASE-01658,CIT-06643,AGY-013,benefit_application,pending_decision,2026-02-24
CASE-01659,CIT-02250,AGY-045,benefit_application,closed,2026-06-21
CASE-01660,CIT-01049,AGY-012,permit_review,closed,2026-08-20
CASE-01661,CIT-05905,AGY-005,permit_review,under_review,2026-06-26
CASE-01662,CIT-01913,AGY-046,permit_review,open,2026-05-09
CASE-01663,CIT-04586,AGY-040,benefit_application,open,2026-04-11
CASE-01664,CIT-03325,AGY-029,license_renewal,open,2026-05-24
CASE-01665,CIT-06200,AGY-036,benefit_application,under_review,2026-07-20
CASE-01666,CIT-09185,AGY-014,benefit_application,pending_decision,2026-04-24
CASE-01667,CIT-09436,AGY-034,license_renewal,open,2026-05-08
CASE-01668,CIT-02530,AGY-048,license_renewal,open,2026-03-15
CASE-01669,CIT-06841,AGY-048,benefit_application,under_review,2026-08-09
CASE-01670,CIT-03060,AGY-036,zoning_variance,open,2026-02-12
CASE-01671,CIT-09747,AGY-007,zoning_variance,open,2026-06-27
CASE-01672,CIT-00254,AGY-038,zoning_variance,pending_decision,2026-04-07
CASE-01673,CIT-09574,AGY-013,zoning_variance,closed,2026-02-01
CASE-01674,CIT-06529,AGY-024,permit_review,open,2026-06-27
CASE-01675,CIT-00253,AGY-012,license_renewal,open,2026-02-24
CASE-01676,CIT-01913,AGY-046,license_renewal,under_review,2026-01-08
CASE-01677,CIT-09340,AGY-031,benefit_application,under_review,2026-08-05
CASE-01678,CIT-02070,AGY-016,zoning_variance,pending_decision,2026-05-13
CASE-01679,CIT-05582,AGY-022,zoning_variance,under_review,2026-04-08
CASE-01680,CIT-00306,AGY-042,benefit_application,open,2026-06-09
CASE-01681,CIT-02450,AGY-017,benefit_application,closed,2026-06-18
CASE-01682,CIT-07652,AGY-048,zoning_variance,closed,2026-06-25
CASE-01683,CIT-02165,AGY-041,benefit_application,pending_decision,2026-04-21
CASE-01684,CIT-06370,AGY-016,license_renewal,closed,2026-07-24
CASE-01685,CIT-08524,AGY-007,permit_review,pending_decision,2026-03-21
CASE-01686,CIT-07914,AGY-044,zoning_variance,open,2026-02-14
CASE-01687,CIT-03388,AGY-010,zoning_variance,under_review,2026-02-19
CASE-01688,CIT-05530,AGY-034,zoning_variance,open,2026-02-24
CASE-01689,CIT-04930,AGY-025,benefit_application,under_review,2026-03-15
CASE-01690,CIT-05696,AGY-023,license_renewal,under_review,2026-08-27
CASE-01691,CIT-02313,AGY-017,permit_review,under_review,2026-04-20
CASE-01692,CIT-09048,AGY-035,license_renewal,open,2026-07-08
CASE-01693,CIT-05929,AGY-028,license_renewal,pending_decision,2026-05-03
CASE-01694,CIT-04659,AGY-023,permit_review,under_review,2026-03-06
CASE-01695,CIT-09099,AGY-048,license_renewal,open,2026-07-17
CASE-01696,CIT-05883,AGY-038,license_renewal,pending_decision,2026-04-20
CASE-01697,CIT-06223,AGY-030,benefit_application,pending_decision,2026-07-28
CASE-01698,CIT-02756,AGY-006,benefit_application,under_review,2026-03-16
CASE-01699,CIT-00763,AGY-038,benefit_application,open,2026-02-24
CASE-01700,CIT-05593,AGY-047,zoning_variance,pending_decision,2026-06-19
