part_id,name,supplier_id,used_in_line_ids
PART-01419,Gasket 1419,SUP-0679,"[""LINE-FAC-023-5"", ""LINE-FAC-004-6""]"
PART-01420,Coupling 1420,SUP-0619,"[""LINE-FAC-012-6""]"
PART-01421,Valve Body 1421,SUP-0761,"[""LINE-FAC-020-4"", ""LINE-FAC-002-1"", ""LINE-FAC-033-4""]"
PART-01422,Wiring Harness 1422,SUP-0515,"[""LINE-FAC-023-8"", ""LINE-FAC-038-1"", ""LINE-FAC-019-4""]"
PART-01423,Actuator 1423,SUP-0999,"[""LINE-FAC-015-5"", ""LINE-FAC-040-4"", ""LINE-FAC-025-3""]"
PART-01424,Housing 1424,SUP-0177,"[""LINE-FAC-028-7"", ""LINE-FAC-011-7""]"
PART-01425,Coupling 1425,SUP-0160,"[""LINE-FAC-033-8""]"
PART-01426,Gasket 1426,SUP-0146,"[""LINE-FAC-003-8"", ""LINE-FAC-038-2""]"
PART-01427,Wiring Harness 1427,SUP-0999,"[""LINE-FAC-005-7""]"
PART-01428,Bushing 1428,SUP-0749,"[""LINE-FAC-018-6"", ""LINE-FAC-023-6""]"
PART-01429,Sensor Module 1429,SUP-0480,"[""LINE-FAC-003-8"", ""LINE-FAC-035-3"", ""LINE-FAC-038-7""]"
PART-01430,Coupling 1430,SUP-0535,"[""LINE-FAC-017-7""]"
PART-01431,Sensor Module 1431,SUP-0794,"[""LINE-FAC-001-4""]"
PART-01432,Valve Body 1432,SUP-0806,"[""LINE-FAC-021-5""]"
PART-01433,Housing 1433,SUP-0328,"[""LINE-FAC-020-7"", ""LINE-FAC-024-8""]"
PART-01434,Wiring Harness 1434,SUP-0086,"[""LINE-FAC-013-5""]"
PART-01435,Coupling 1435,SUP-0190,"[""LINE-FAC-035-1""]"
PART-01436,Wiring Harness 1436,SUP-0692,"[""LINE-FAC-038-2"", ""LINE-FAC-011-1"", ""LINE-FAC-017-3""]"
PART-01437,Valve Body 1437,SUP-0607,"[""LINE-FAC-023-6""]"
PART-01438,Sensor Module 1438,SUP-0020,"[""LINE-FAC-013-6"", ""LINE-FAC-034-3""]"
PART-01439,Housing 1439,SUP-0849,"[""LINE-FAC-002-2""]"
PART-01440,Gasket 1440,SUP-0344,"[""LINE-FAC-038-5""]"
PART-01441,Valve Body 1441,SUP-0288,"[""LINE-FAC-026-7""]"
PART-01442,Housing 1442,SUP-0979,"[""LINE-FAC-003-6"", ""LINE-FAC-020-7"", ""LINE-FAC-031-5""]"
PART-01443,Bracket 1443,SUP-0361,"[""LINE-FAC-011-1""]"
PART-01444,Actuator 1444,SUP-0480,"[""LINE-FAC-040-4"", ""LINE-FAC-013-1""]"
PART-01445,Bearing Assembly 1445,SUP-0221,"[""LINE-FAC-001-2"", ""LINE-FAC-011-7""]"
PART-01446,Valve Body 1446,SUP-0716,"[""LINE-FAC-007-6"", ""LINE-FAC-008-1"", ""LINE-FAC-024-8""]"
PART-01447,Bushing 1447,SUP-0334,"[""LINE-FAC-036-4"", ""LINE-FAC-008-2""]"
PART-01448,Actuator 1448,SUP-0386,"[""LINE-FAC-039-4"", ""LINE-FAC-039-3""]"
PART-01449,Bearing Assembly 1449,SUP-0419,"[""LINE-FAC-032-2""]"
PART-01450,Sensor Module 1450,SUP-0788,"[""LINE-FAC-026-7"", ""LINE-FAC-001-7""]"
PART-01451,Sensor Module 1451,SUP-0779,"[""LINE-FAC-018-5"", ""LINE-FAC-024-1""]"
PART-01452,Housing 1452,SUP-0057,"[""LINE-FAC-039-6"", ""LINE-FAC-004-1""]"
PART-01453,Bearing Assembly 1453,SUP-0116,"[""LINE-FAC-006-4"", ""LINE-FAC-003-7""]"
PART-01454,Actuator 1454,SUP-0761,"[""LINE-FAC-012-6"", ""LINE-FAC-039-8""]"
PART-01455,Actuator 1455,SUP-0290,"[""LINE-FAC-013-2"", ""LINE-FAC-016-7""]"
PART-01456,Bracket 1456,SUP-0780,"[""LINE-FAC-018-5"", ""LINE-FAC-039-2""]"
PART-01457,Wiring Harness 1457,SUP-0008,"[""LINE-FAC-033-4""]"
PART-01458,Valve Body 1458,SUP-0730,"[""LINE-FAC-033-8"", ""LINE-FAC-020-1"", ""LINE-FAC-001-5""]"
PART-01459,Bracket 1459,SUP-0109,"[""LINE-FAC-008-3"", ""LINE-FAC-002-5""]"
PART-01460,Bushing 1460,SUP-0935,"[""LINE-FAC-022-8"", ""LINE-FAC-037-5""]"
PART-01461,Actuator 1461,SUP-0436,"[""LINE-FAC-015-3""]"
PART-01462,Housing 1462,SUP-0476,"[""LINE-FAC-019-3"", ""LINE-FAC-013-4"", ""LINE-FAC-002-2""]"
PART-01463,Gasket 1463,SUP-0565,"[""LINE-FAC-021-8"", ""LINE-FAC-020-7""]"
PART-01464,Housing 1464,SUP-0135,"[""LINE-FAC-009-5"", ""LINE-FAC-032-8"", ""LINE-FAC-011-4""]"
PART-01465,Housing 1465,SUP-0660,"[""LINE-FAC-016-3""]"
PART-01466,Bracket 1466,SUP-0387,"[""LINE-FAC-030-7"", ""LINE-FAC-028-2""]"
PART-01467,Bushing 1467,SUP-0884,"[""LINE-FAC-026-4"", ""LINE-FAC-003-3"", ""LINE-FAC-005-6""]"
PART-01468,Coupling 1468,SUP-0726,"[""LINE-FAC-004-1"", ""LINE-FAC-030-7"", ""LINE-FAC-035-5""]"
PART-01469,Wiring Harness 1469,SUP-0218,"[""LINE-FAC-004-6""]"
PART-01470,Valve Body 1470,SUP-0823,"[""LINE-FAC-034-3""]"
PART-01471,Housing 1471,SUP-0128,"[""LINE-FAC-038-2"", ""LINE-FAC-023-6"", ""LINE-FAC-039-7""]"
PART-01472,Wiring Harness 1472,SUP-0178,"[""LINE-FAC-020-2""]"
PART-01473,Coupling 1473,SUP-0739,"[""LINE-FAC-003-2"", ""LINE-FAC-036-2""]"
PART-01474,Bushing 1474,SUP-0115,"[""LINE-FAC-014-8""]"
PART-01475,Valve Body 1475,SUP-0980,"[""LINE-FAC-025-2""]"
PART-01476,Gasket 1476,SUP-0445,"[""LINE-FAC-031-2"", ""LINE-FAC-014-8"", ""LINE-FAC-012-7""]"
PART-01477,Housing 1477,SUP-0692,"[""LINE-FAC-035-4"", ""LINE-FAC-031-2""]"
PART-01478,Actuator 1478,SUP-0587,"[""LINE-FAC-015-6"", ""LINE-FAC-016-2"", ""LINE-FAC-017-2""]"
PART-01479,Bracket 1479,SUP-0056,"[""LINE-FAC-022-1"", ""LINE-FAC-032-3"", ""LINE-FAC-014-4""]"
PART-01480,Bracket 1480,SUP-0896,"[""LINE-FAC-005-1""]"
PART-01481,Coupling 1481,SUP-0135,"[""LINE-FAC-030-3"", ""LINE-FAC-007-3""]"
PART-01482,Wiring Harness 1482,SUP-0043,"[""LINE-FAC-039-3"", ""LINE-FAC-027-7""]"
PART-01483,Sensor Module 1483,SUP-0948,"[""LINE-FAC-030-1"", ""LINE-FAC-033-6"", ""LINE-FAC-005-6""]"
PART-01484,Actuator 1484,SUP-0534,"[""LINE-FAC-025-2"", ""LINE-FAC-039-1""]"
PART-01485,Sensor Module 1485,SUP-0397,"[""LINE-FAC-030-3"", ""LINE-FAC-016-4""]"
PART-01486,Coupling 1486,SUP-0446,"[""LINE-FAC-032-6""]"
PART-01487,Bushing 1487,SUP-0905,"[""LINE-FAC-018-2""]"
PART-01488,Coupling 1488,SUP-0209,"[""LINE-FAC-010-1""]"
PART-01489,Bearing Assembly 1489,SUP-0547,"[""LINE-FAC-007-5"", ""LINE-FAC-007-3""]"
PART-01490,Gasket 1490,SUP-0620,"[""LINE-FAC-034-8"", ""LINE-FAC-020-3""]"
PART-01491,Actuator 1491,SUP-0994,"[""LINE-FAC-034-5""]"
PART-01492,Bracket 1492,SUP-0441,"[""LINE-FAC-002-5"", ""LINE-FAC-036-2"", ""LINE-FAC-003-5""]"
PART-01493,Wiring Harness 1493,SUP-0346,"[""LINE-FAC-031-8"", ""LINE-FAC-029-3""]"
PART-01494,Housing 1494,SUP-0990,"[""LINE-FAC-029-3"", ""LINE-FAC-037-2""]"
PART-01495,Bearing Assembly 1495,SUP-0530,"[""LINE-FAC-040-3""]"
PART-01496,Bracket 1496,SUP-0984,"[""LINE-FAC-004-4"", ""LINE-FAC-005-4""]"
PART-01497,Wiring Harness 1497,SUP-0073,"[""LINE-FAC-001-6"", ""LINE-FAC-036-3""]"
PART-01498,Valve Body 1498,SUP-0617,"[""LINE-FAC-030-2"", ""LINE-FAC-014-3"", ""LINE-FAC-001-5""]"
PART-01499,Valve Body 1499,SUP-0795,"[""LINE-FAC-015-2"", ""LINE-FAC-040-4"", ""LINE-FAC-022-4""]"
PART-01500,Bracket 1500,SUP-0865,"[""LINE-FAC-019-6""]"
PART-01501,Housing 1501,SUP-0821,"[""LINE-FAC-017-7"", ""LINE-FAC-014-8"", ""LINE-FAC-026-7""]"
PART-01502,Wiring Harness 1502,SUP-0202,"[""LINE-FAC-025-3""]"
PART-01503,Bracket 1503,SUP-0284,"[""LINE-FAC-040-3"", ""LINE-FAC-005-4"", ""LINE-FAC-016-1""]"
PART-01504,Coupling 1504,SUP-0433,"[""LINE-FAC-013-7"", ""LINE-FAC-001-6""]"
PART-01505,Actuator 1505,SUP-0953,"[""LINE-FAC-012-6"", ""LINE-FAC-002-5""]"
PART-01506,Bracket 1506,SUP-0878,"[""LINE-FAC-005-7"", ""LINE-FAC-028-5"", ""LINE-FAC-036-7""]"
PART-01507,Sensor Module 1507,SUP-0527,"[""LINE-FAC-032-4"", ""LINE-FAC-006-4""]"
PART-01508,Coupling 1508,SUP-0279,"[""LINE-FAC-023-4"", ""LINE-FAC-027-4""]"
PART-01509,Bearing Assembly 1509,SUP-0701,"[""LINE-FAC-019-1"", ""LINE-FAC-022-3"", ""LINE-FAC-008-3""]"
PART-01510,Housing 1510,SUP-0507,"[""LINE-FAC-013-6""]"
PART-01511,Valve Body 1511,SUP-0239,"[""LINE-FAC-030-1"", ""LINE-FAC-040-8""]"
PART-01512,Coupling 1512,SUP-0282,"[""LINE-FAC-002-4"", ""LINE-FAC-034-3"", ""LINE-FAC-002-7""]"
PART-01513,Wiring Harness 1513,SUP-0458,"[""LINE-FAC-011-2"", ""LINE-FAC-008-2""]"
PART-01514,Bracket 1514,SUP-0848,"[""LINE-FAC-023-1""]"
PART-01515,Bearing Assembly 1515,SUP-0978,"[""LINE-FAC-013-8"", ""LINE-FAC-029-5"", ""LINE-FAC-023-4""]"
PART-01516,Gasket 1516,SUP-0969,"[""LINE-FAC-019-3"", ""LINE-FAC-013-5"", ""LINE-FAC-002-5""]"
PART-01517,Bearing Assembly 1517,SUP-0138,"[""LINE-FAC-009-5"", ""LINE-FAC-038-2"", ""LINE-FAC-023-5""]"
PART-01518,Wiring Harness 1518,SUP-0277,"[""LINE-FAC-038-1"", ""LINE-FAC-021-5""]"
PART-01519,Gasket 1519,SUP-0387,"[""LINE-FAC-013-4"", ""LINE-FAC-005-6"", ""LINE-FAC-036-4""]"
PART-01520,Bearing Assembly 1520,SUP-0363,"[""LINE-FAC-039-1""]"
PART-01521,Wiring Harness 1521,SUP-0566,"[""LINE-FAC-006-1"", ""LINE-FAC-038-3"", ""LINE-FAC-003-6""]"
PART-01522,Valve Body 1522,SUP-0957,"[""LINE-FAC-001-8""]"
PART-01523,Bearing Assembly 1523,SUP-0006,"[""LINE-FAC-005-1"", ""LINE-FAC-029-5""]"
PART-01524,Wiring Harness 1524,SUP-0380,"[""LINE-FAC-015-6"", ""LINE-FAC-020-2""]"
PART-01525,Coupling 1525,SUP-0641,"[""LINE-FAC-005-3"", ""LINE-FAC-019-7"", ""LINE-FAC-022-2""]"
PART-01526,Wiring Harness 1526,SUP-0521,"[""LINE-FAC-027-7"", ""LINE-FAC-012-1""]"
PART-01527,Housing 1527,SUP-0010,"[""LINE-FAC-009-4"", ""LINE-FAC-021-2"", ""LINE-FAC-029-8""]"
PART-01528,Coupling 1528,SUP-0125,"[""LINE-FAC-004-4"", ""LINE-FAC-025-8""]"
PART-01529,Bushing 1529,SUP-0730,"[""LINE-FAC-016-7"", ""LINE-FAC-040-6""]"
PART-01530,Actuator 1530,SUP-0870,"[""LINE-FAC-016-7"", ""LINE-FAC-022-2"", ""LINE-FAC-032-2""]"
PART-01531,Valve Body 1531,SUP-0212,"[""LINE-FAC-005-6""]"
PART-01532,Bushing 1532,SUP-0492,"[""LINE-FAC-002-5""]"
PART-01533,Gasket 1533,SUP-0585,"[""LINE-FAC-022-2""]"
PART-01534,Wiring Harness 1534,SUP-0982,"[""LINE-FAC-005-3""]"
PART-01535,Bracket 1535,SUP-0337,"[""LINE-FAC-039-4"", ""LINE-FAC-012-1"", ""LINE-FAC-016-5""]"
PART-01536,Sensor Module 1536,SUP-0897,"[""LINE-FAC-033-6"", ""LINE-FAC-039-1""]"
PART-01537,Gasket 1537,SUP-0720,"[""LINE-FAC-019-3"", ""LINE-FAC-030-5""]"
PART-01538,Sensor Module 1538,SUP-0621,"[""LINE-FAC-030-7"", ""LINE-FAC-011-3"", ""LINE-FAC-037-2""]"
PART-01539,Wiring Harness 1539,SUP-0960,"[""LINE-FAC-025-1""]"
PART-01540,Sensor Module 1540,SUP-0807,"[""LINE-FAC-001-2"", ""LINE-FAC-026-7"", ""LINE-FAC-001-8""]"
PART-01541,Bracket 1541,SUP-0310,"[""LINE-FAC-030-1"", ""LINE-FAC-006-7"", ""LINE-FAC-032-2""]"
PART-01542,Valve Body 1542,SUP-0566,"[""LINE-FAC-003-4""]"
PART-01543,Actuator 1543,SUP-0822,"[""LINE-FAC-004-8"", ""LINE-FAC-007-2"", ""LINE-FAC-040-4""]"
PART-01544,Wiring Harness 1544,SUP-0854,"[""LINE-FAC-001-1"", ""LINE-FAC-039-5""]"
PART-01545,Wiring Harness 1545,SUP-0877,"[""LINE-FAC-001-1"", ""LINE-FAC-039-4""]"
PART-01546,Gasket 1546,SUP-0958,"[""LINE-FAC-005-4"", ""LINE-FAC-005-5""]"
PART-01547,Wiring Harness 1547,SUP-0680,"[""LINE-FAC-017-8"", ""LINE-FAC-020-7""]"
PART-01548,Gasket 1548,SUP-0651,"[""LINE-FAC-018-3""]"
PART-01549,Actuator 1549,SUP-0140,"[""LINE-FAC-001-6"", ""LINE-FAC-018-4"", ""LINE-FAC-034-8""]"
PART-01550,Bracket 1550,SUP-0103,"[""LINE-FAC-036-1""]"
PART-01551,Sensor Module 1551,SUP-0266,"[""LINE-FAC-024-3"", ""LINE-FAC-037-3"", ""LINE-FAC-031-3""]"
PART-01552,Wiring Harness 1552,SUP-0864,"[""LINE-FAC-004-7"", ""LINE-FAC-022-8""]"
PART-01553,Housing 1553,SUP-0729,"[""LINE-FAC-008-8"", ""LINE-FAC-027-6"", ""LINE-FAC-003-6""]"
PART-01554,Sensor Module 1554,SUP-0826,"[""LINE-FAC-035-5""]"
PART-01555,Bearing Assembly 1555,SUP-0014,"[""LINE-FAC-003-1"", ""LINE-FAC-017-7""]"
PART-01556,Sensor Module 1556,SUP-0682,"[""LINE-FAC-008-2"", ""LINE-FAC-007-4""]"
PART-01557,Housing 1557,SUP-0782,"[""LINE-FAC-029-7"", ""LINE-FAC-027-4"", ""LINE-FAC-004-5""]"
PART-01558,Coupling 1558,SUP-0990,"[""LINE-FAC-017-6""]"
PART-01559,Coupling 1559,SUP-0997,"[""LINE-FAC-023-4"", ""LINE-FAC-002-1""]"
PART-01560,Bearing Assembly 1560,SUP-0708,"[""LINE-FAC-006-2"", ""LINE-FAC-024-8""]"
PART-01561,Bearing Assembly 1561,SUP-0423,"[""LINE-FAC-022-6""]"
PART-01562,Bracket 1562,SUP-0093,"[""LINE-FAC-033-1"", ""LINE-FAC-033-8""]"
PART-01563,Gasket 1563,SUP-0302,"[""LINE-FAC-018-3"", ""LINE-FAC-016-5""]"
PART-01564,Bracket 1564,SUP-0255,"[""LINE-FAC-028-8"", ""LINE-FAC-039-1""]"
PART-01565,Coupling 1565,SUP-0547,"[""LINE-FAC-009-8"", ""LINE-FAC-022-8""]"
PART-01566,Valve Body 1566,SUP-0352,"[""LINE-FAC-026-1"", ""LINE-FAC-018-7"", ""LINE-FAC-034-8""]"
PART-01567,Valve Body 1567,SUP-0591,"[""LINE-FAC-032-5"", ""LINE-FAC-004-2""]"
PART-01568,Valve Body 1568,SUP-0588,"[""LINE-FAC-031-8"", ""LINE-FAC-004-5"", ""LINE-FAC-039-5""]"
PART-01569,Gasket 1569,SUP-0811,"[""LINE-FAC-009-2""]"
PART-01570,Bearing Assembly 1570,SUP-0665,"[""LINE-FAC-031-8""]"
PART-01571,Coupling 1571,SUP-0118,"[""LINE-FAC-014-2"", ""LINE-FAC-028-1"", ""LINE-FAC-010-5""]"
PART-01572,Bushing 1572,SUP-0959,"[""LINE-FAC-011-8"", ""LINE-FAC-036-8""]"
PART-01573,Coupling 1573,SUP-0030,"[""LINE-FAC-010-8"", ""LINE-FAC-032-3"", ""LINE-FAC-014-3""]"
PART-01574,Wiring Harness 1574,SUP-0397,"[""LINE-FAC-040-7""]"
PART-01575,Bearing Assembly 1575,SUP-0243,"[""LINE-FAC-008-6"", ""LINE-FAC-001-6""]"
PART-01576,Gasket 1576,SUP-0503,"[""LINE-FAC-017-3""]"
PART-01577,Sensor Module 1577,SUP-0315,"[""LINE-FAC-003-2""]"
PART-01578,Wiring Harness 1578,SUP-0210,"[""LINE-FAC-025-8"", ""LINE-FAC-034-7"", ""LINE-FAC-005-3""]"
PART-01579,Sensor Module 1579,SUP-0850,"[""LINE-FAC-029-6""]"
PART-01580,Coupling 1580,SUP-0444,"[""LINE-FAC-027-5""]"
PART-01581,Bearing Assembly 1581,SUP-0058,"[""LINE-FAC-002-7"", ""LINE-FAC-007-6""]"
PART-01582,Bushing 1582,SUP-0357,"[""LINE-FAC-019-6""]"
PART-01583,Wiring Harness 1583,SUP-0566,"[""LINE-FAC-023-8"", ""LINE-FAC-010-4"", ""LINE-FAC-033-3""]"
PART-01584,Coupling 1584,SUP-0330,"[""LINE-FAC-001-8"", ""LINE-FAC-015-3"", ""LINE-FAC-005-3""]"
PART-01585,Housing 1585,SUP-0120,"[""LINE-FAC-003-1"", ""LINE-FAC-030-6""]"
PART-01586,Coupling 1586,SUP-0829,"[""LINE-FAC-040-2""]"
PART-01587,Bushing 1587,SUP-0524,"[""LINE-FAC-007-3""]"
PART-01588,Wiring Harness 1588,SUP-0046,"[""LINE-FAC-031-3"", ""LINE-FAC-031-2""]"
PART-01589,Housing 1589,SUP-0166,"[""LINE-FAC-027-1""]"
PART-01590,Sensor Module 1590,SUP-0444,"[""LINE-FAC-013-6""]"
PART-01591,Wiring Harness 1591,SUP-0208,"[""LINE-FAC-003-2""]"
PART-01592,Gasket 1592,SUP-0928,"[""LINE-FAC-011-5"", ""LINE-FAC-024-4"", ""LINE-FAC-017-6""]"
PART-01593,Actuator 1593,SUP-0752,"[""LINE-FAC-030-2""]"
PART-01594,Wiring Harness 1594,SUP-0124,"[""LINE-FAC-030-7""]"
PART-01595,Sensor Module 1595,SUP-0708,"[""LINE-FAC-035-6""]"
PART-01596,Valve Body 1596,SUP-0652,"[""LINE-FAC-009-5""]"
PART-01597,Valve Body 1597,SUP-0907,"[""LINE-FAC-025-8"", ""LINE-FAC-013-5""]"
PART-01598,Actuator 1598,SUP-0684,"[""LINE-FAC-026-6"", ""LINE-FAC-009-2"", ""LINE-FAC-021-8""]"
PART-01599,Actuator 1599,SUP-0440,"[""LINE-FAC-029-6"", ""LINE-FAC-038-6"", ""LINE-FAC-014-4""]"
PART-01600,Sensor Module 1600,SUP-0578,"[""LINE-FAC-006-7"", ""LINE-FAC-030-3"", ""LINE-FAC-022-8""]"
PART-01601,Gasket 1601,SUP-0503,"[""LINE-FAC-019-6""]"
PART-01602,Sensor Module 1602,SUP-0568,"[""LINE-FAC-012-5""]"
PART-01603,Housing 1603,SUP-0002,"[""LINE-FAC-019-7""]"
PART-01604,Housing 1604,SUP-0419,"[""LINE-FAC-035-4"", ""LINE-FAC-037-2""]"
PART-01605,Bracket 1605,SUP-0986,"[""LINE-FAC-033-2""]"
PART-01606,Housing 1606,SUP-0549,"[""LINE-FAC-030-8"", ""LINE-FAC-027-4"", ""LINE-FAC-031-4""]"
PART-01607,Gasket 1607,SUP-0755,"[""LINE-FAC-003-2"", ""LINE-FAC-007-3"", ""LINE-FAC-032-1""]"
PART-01608,Gasket 1608,SUP-0227,"[""LINE-FAC-019-6""]"
PART-01609,Gasket 1609,SUP-0925,"[""LINE-FAC-028-1"", ""LINE-FAC-015-1""]"
PART-01610,Bracket 1610,SUP-0780,"[""LINE-FAC-011-8"", ""LINE-FAC-033-1""]"
PART-01611,Gasket 1611,SUP-0127,"[""LINE-FAC-037-3"", ""LINE-FAC-021-5""]"
PART-01612,Actuator 1612,SUP-0021,"[""LINE-FAC-013-5"", ""LINE-FAC-011-7""]"
PART-01613,Actuator 1613,SUP-0612,"[""LINE-FAC-010-5"", ""LINE-FAC-024-1"", ""LINE-FAC-010-1""]"
PART-01614,Bracket 1614,SUP-0834,"[""LINE-FAC-039-8"", ""LINE-FAC-008-3"", ""LINE-FAC-017-4""]"
PART-01615,Bushing 1615,SUP-0242,"[""LINE-FAC-011-5"", ""LINE-FAC-029-7"", ""LINE-FAC-033-4""]"
PART-01616,Bushing 1616,SUP-0519,"[""LINE-FAC-016-2"", ""LINE-FAC-036-7""]"
PART-01617,Coupling 1617,SUP-0860,"[""LINE-FAC-015-8""]"
PART-01618,Actuator 1618,SUP-0697,"[""LINE-FAC-035-4"", ""LINE-FAC-038-8"", ""LINE-FAC-035-3""]"
PART-01619,Bushing 1619,SUP-0746,"[""LINE-FAC-038-2"", ""LINE-FAC-006-6"", ""LINE-FAC-024-7""]"
PART-01620,Bracket 1620,SUP-0813,"[""LINE-FAC-014-6""]"
PART-01621,Wiring Harness 1621,SUP-0105,"[""LINE-FAC-027-3"", ""LINE-FAC-034-7""]"
PART-01622,Wiring Harness 1622,SUP-0068,"[""LINE-FAC-031-5"", ""LINE-FAC-009-4"", ""LINE-FAC-023-3""]"
PART-01623,Actuator 1623,SUP-0194,"[""LINE-FAC-007-1""]"
PART-01624,Wiring Harness 1624,SUP-0396,"[""LINE-FAC-008-3"", ""LINE-FAC-005-3"", ""LINE-FAC-008-5""]"
PART-01625,Housing 1625,SUP-0199,"[""LINE-FAC-022-7"", ""LINE-FAC-008-4""]"
PART-01626,Coupling 1626,SUP-0341,"[""LINE-FAC-026-8""]"
PART-01627,Coupling 1627,SUP-0070,"[""LINE-FAC-019-4"", ""LINE-FAC-033-8""]"
PART-01628,Bearing Assembly 1628,SUP-0842,"[""LINE-FAC-033-8"", ""LINE-FAC-025-5"", ""LINE-FAC-033-1""]"
PART-01629,Wiring Harness 1629,SUP-0049,"[""LINE-FAC-020-8""]"
PART-01630,Bushing 1630,SUP-0013,"[""LINE-FAC-036-4"", ""LINE-FAC-013-3"", ""LINE-FAC-025-3""]"
PART-01631,Valve Body 1631,SUP-0618,"[""LINE-FAC-032-5"", ""LINE-FAC-040-4"", ""LINE-FAC-029-4""]"
PART-01632,Bracket 1632,SUP-0097,"[""LINE-FAC-010-7""]"
PART-01633,Wiring Harness 1633,SUP-0749,"[""LINE-FAC-016-1""]"
PART-01634,Bracket 1634,SUP-0786,"[""LINE-FAC-001-4"", ""LINE-FAC-011-8"", ""LINE-FAC-031-3""]"
PART-01635,Valve Body 1635,SUP-0469,"[""LINE-FAC-010-5"", ""LINE-FAC-008-3""]"
PART-01636,Bearing Assembly 1636,SUP-0093,"[""LINE-FAC-015-6""]"
PART-01637,Wiring Harness 1637,SUP-0058,"[""LINE-FAC-033-7"", ""LINE-FAC-038-8"", ""LINE-FAC-012-8""]"
PART-01638,Sensor Module 1638,SUP-0450,"[""LINE-FAC-035-1""]"
PART-01639,Bearing Assembly 1639,SUP-0129,"[""LINE-FAC-001-8"", ""LINE-FAC-021-4"", ""LINE-FAC-002-6""]"
PART-01640,Gasket 1640,SUP-0537,"[""LINE-FAC-030-3"", ""LINE-FAC-006-6""]"
PART-01641,Bracket 1641,SUP-0083,"[""LINE-FAC-030-2""]"
PART-01642,Bushing 1642,SUP-0575,"[""LINE-FAC-020-1"", ""LINE-FAC-032-1""]"
PART-01643,Housing 1643,SUP-0027,"[""LINE-FAC-009-5"", ""LINE-FAC-039-8""]"
PART-01644,Bracket 1644,SUP-0168,"[""LINE-FAC-018-2"", ""LINE-FAC-018-8"", ""LINE-FAC-040-5""]"
PART-01645,Valve Body 1645,SUP-0314,"[""LINE-FAC-012-4"", ""LINE-FAC-017-6""]"
PART-01646,Sensor Module 1646,SUP-0430,"[""LINE-FAC-025-4"", ""LINE-FAC-024-6""]"
PART-01647,Wiring Harness 1647,SUP-0186,"[""LINE-FAC-001-5""]"
PART-01648,Actuator 1648,SUP-0079,"[""LINE-FAC-034-2""]"
PART-01649,Gasket 1649,SUP-0644,"[""LINE-FAC-028-8"", ""LINE-FAC-004-4""]"
PART-01650,Housing 1650,SUP-0336,"[""LINE-FAC-011-7""]"
PART-01651,Bearing Assembly 1651,SUP-0626,"[""LINE-FAC-027-6""]"
PART-01652,Wiring Harness 1652,SUP-0906,"[""LINE-FAC-013-7"", ""LINE-FAC-038-4""]"
PART-01653,Housing 1653,SUP-0017,"[""LINE-FAC-035-3""]"
PART-01654,Actuator 1654,SUP-0410,"[""LINE-FAC-022-7""]"
PART-01655,Bushing 1655,SUP-0501,"[""LINE-FAC-021-5"", ""LINE-FAC-024-8""]"
PART-01656,Bushing 1656,SUP-0453,"[""LINE-FAC-019-8"", ""LINE-FAC-028-6""]"
PART-01657,Gasket 1657,SUP-0613,"[""LINE-FAC-028-1""]"
PART-01658,Sensor Module 1658,SUP-0542,"[""LINE-FAC-009-7"", ""LINE-FAC-040-5""]"
PART-01659,Bearing Assembly 1659,SUP-0902,"[""LINE-FAC-038-7"", ""LINE-FAC-024-6""]"
PART-01660,Wiring Harness 1660,SUP-0185,"[""LINE-FAC-021-7""]"
PART-01661,Bushing 1661,SUP-0548,"[""LINE-FAC-022-5"", ""LINE-FAC-013-6""]"
PART-01662,Bracket 1662,SUP-0869,"[""LINE-FAC-039-2"", ""LINE-FAC-023-1"", ""LINE-FAC-023-5""]"
PART-01663,Housing 1663,SUP-0271,"[""LINE-FAC-028-6"", ""LINE-FAC-004-6""]"
PART-01664,Gasket 1664,SUP-0121,"[""LINE-FAC-014-4""]"
PART-01665,Sensor Module 1665,SUP-0577,"[""LINE-FAC-011-1"", ""LINE-FAC-025-5"", ""LINE-FAC-025-8""]"
PART-01666,Bracket 1666,SUP-0518,"[""LINE-FAC-016-8"", ""LINE-FAC-001-8"", ""LINE-FAC-015-3""]"
PART-01667,Actuator 1667,SUP-0988,"[""LINE-FAC-029-2"", ""LINE-FAC-038-5"", ""LINE-FAC-015-4""]"
PART-01668,Bearing Assembly 1668,SUP-0951,"[""LINE-FAC-037-1"", ""LINE-FAC-016-3""]"
PART-01669,Bushing 1669,SUP-0770,"[""LINE-FAC-002-1""]"
PART-01670,Bearing Assembly 1670,SUP-0740,"[""LINE-FAC-036-8"", ""LINE-FAC-038-2""]"
PART-01671,Coupling 1671,SUP-0989,"[""LINE-FAC-009-5""]"
PART-01672,Coupling 1672,SUP-0759,"[""LINE-FAC-036-4"", ""LINE-FAC-037-2""]"
PART-01673,Valve Body 1673,SUP-0349,"[""LINE-FAC-033-7""]"
PART-01674,Valve Body 1674,SUP-0780,"[""LINE-FAC-022-2"", ""LINE-FAC-033-2"", ""LINE-FAC-022-8""]"
PART-01675,Bracket 1675,SUP-0785,"[""LINE-FAC-008-4"", ""LINE-FAC-029-8""]"
PART-01676,Valve Body 1676,SUP-0368,"[""LINE-FAC-029-8""]"
