signal_id,product_id,store_id,signal_type,trend_percent,detected_at
SIG-01401,PROD-00263,STORE-0110,spike,-37.1,2026-04-11
SIG-01402,PROD-01537,STORE-0075,decline,8.0,2026-05-07
SIG-01403,PROD-04073,STORE-0056,spike,32.3,2026-08-13
SIG-01404,PROD-02860,STORE-0020,spike,57.5,2026-08-16
SIG-01405,PROD-02249,STORE-0075,decline,40.5,2026-03-18
SIG-01406,PROD-02147,STORE-0169,seasonal,-7.2,2026-02-26
SIG-01407,PROD-04165,STORE-0243,decline,-20.5,2026-01-02
SIG-01408,PROD-00575,STORE-0226,seasonal,10.7,2026-06-24
SIG-01409,PROD-04706,STORE-0003,decline,26.5,2026-01-28
SIG-01410,PROD-02221,STORE-0371,seasonal,-0.4,2026-06-14
SIG-01411,PROD-02846,STORE-0146,spike,49.4,2026-04-16
SIG-01412,PROD-01590,STORE-0303,decline,75.4,2026-07-28
SIG-01413,PROD-04224,STORE-0100,spike,4.7,2026-06-18
SIG-01414,PROD-00321,STORE-0466,decline,-0.6,2026-03-04
SIG-01415,PROD-01358,STORE-0464,seasonal,11.2,2026-03-20
SIG-01416,PROD-04382,STORE-0094,spike,61.5,2026-08-21
SIG-01417,PROD-03772,STORE-0356,decline,72.6,2026-07-25
SIG-01418,PROD-03610,STORE-0265,spike,-10.8,2026-03-21
SIG-01419,PROD-00047,STORE-0351,decline,-9.4,2026-06-08
SIG-01420,PROD-02565,STORE-0466,seasonal,21.1,2026-01-23
SIG-01421,PROD-01213,STORE-0325,spike,78.3,2026-04-22
SIG-01422,PROD-04497,STORE-0087,seasonal,31.3,2026-01-22
SIG-01423,PROD-01440,STORE-0037,spike,19.0,2026-01-13
SIG-01424,PROD-02173,STORE-0234,seasonal,73.0,2026-04-28
SIG-01425,PROD-00743,STORE-0342,seasonal,16.1,2026-02-05
SIG-01426,PROD-01134,STORE-0062,decline,12.0,2026-01-16
SIG-01427,PROD-03157,STORE-0391,seasonal,18.7,2026-01-21
SIG-01428,PROD-04543,STORE-0466,spike,74.3,2026-03-25
SIG-01429,PROD-01048,STORE-0139,seasonal,13.3,2026-08-07
SIG-01430,PROD-02140,STORE-0461,decline,38.8,2026-06-07
SIG-01431,PROD-02349,STORE-0359,seasonal,-14.7,2026-01-24
SIG-01432,PROD-00446,STORE-0094,spike,3.2,2026-04-25
SIG-01433,PROD-03116,STORE-0439,spike,-27.4,2026-07-23
SIG-01434,PROD-00524,STORE-0035,decline,30.1,2026-06-14
SIG-01435,PROD-02717,STORE-0349,decline,14.9,2026-05-23
SIG-01436,PROD-04360,STORE-0243,spike,30.9,2026-07-13
SIG-01437,PROD-00432,STORE-0428,decline,59.8,2026-02-12
SIG-01438,PROD-02484,STORE-0164,seasonal,45.9,2026-04-19
SIG-01439,PROD-04441,STORE-0077,seasonal,-32.6,2026-04-09
SIG-01440,PROD-03777,STORE-0361,spike,59.0,2026-01-07
SIG-01441,PROD-03352,STORE-0329,seasonal,73.9,2026-07-16
SIG-01442,PROD-02153,STORE-0155,seasonal,-8.4,2026-04-17
SIG-01443,PROD-03248,STORE-0249,spike,61.0,2026-05-14
SIG-01444,PROD-03435,STORE-0494,decline,-36.5,2026-03-10
SIG-01445,PROD-01798,STORE-0100,spike,3.7,2026-02-28
SIG-01446,PROD-02800,STORE-0446,seasonal,27.4,2026-07-14
SIG-01447,PROD-02894,STORE-0283,seasonal,3.1,2026-07-10
SIG-01448,PROD-01701,STORE-0208,decline,-3.6,2026-04-02
SIG-01449,PROD-03455,STORE-0044,decline,32.3,2026-08-17
SIG-01450,PROD-04139,STORE-0028,seasonal,43.9,2026-01-08
SIG-01451,PROD-01494,STORE-0058,decline,57.6,2026-04-19
SIG-01452,PROD-02618,STORE-0099,spike,58.1,2026-06-13
SIG-01453,PROD-02564,STORE-0407,spike,1.4,2026-01-21
SIG-01454,PROD-04086,STORE-0473,spike,31.3,2026-07-08
SIG-01455,PROD-00232,STORE-0483,decline,37.8,2026-04-15
SIG-01456,PROD-03316,STORE-0045,spike,-11.2,2026-08-19
SIG-01457,PROD-04005,STORE-0360,seasonal,27.1,2026-06-24
SIG-01458,PROD-02701,STORE-0195,decline,52.8,2026-05-17
SIG-01459,PROD-02342,STORE-0435,spike,56.9,2026-05-25
SIG-01460,PROD-00518,STORE-0230,seasonal,-9.7,2026-07-18
SIG-01461,PROD-03801,STORE-0112,spike,23.8,2026-01-16
SIG-01462,PROD-03723,STORE-0025,decline,65.8,2026-03-23
SIG-01463,PROD-02539,STORE-0156,seasonal,36.7,2026-04-22
SIG-01464,PROD-04835,STORE-0050,seasonal,73.4,2026-01-28
SIG-01465,PROD-02691,STORE-0498,seasonal,-16.2,2026-05-25
SIG-01466,PROD-03224,STORE-0023,seasonal,17.4,2026-04-07
SIG-01467,PROD-00382,STORE-0430,seasonal,11.1,2026-08-02
SIG-01468,PROD-01938,STORE-0088,seasonal,9.1,2026-06-17
SIG-01469,PROD-02709,STORE-0287,decline,-4.4,2026-04-25
SIG-01470,PROD-01910,STORE-0263,seasonal,39.4,2026-04-15
SIG-01471,PROD-00964,STORE-0453,seasonal,-32.0,2026-01-28
SIG-01472,PROD-04869,STORE-0011,decline,71.1,2026-01-03
SIG-01473,PROD-03438,STORE-0144,seasonal,64.0,2026-05-22
SIG-01474,PROD-03405,STORE-0494,decline,-8.7,2026-05-25
SIG-01475,PROD-03757,STORE-0336,spike,17.7,2026-03-10
SIG-01476,PROD-00546,STORE-0374,spike,31.1,2026-07-02
SIG-01477,PROD-02098,STORE-0105,seasonal,15.7,2026-01-09
SIG-01478,PROD-00370,STORE-0170,decline,16.2,2026-03-27
SIG-01479,PROD-03082,STORE-0035,spike,-4.1,2026-03-10
SIG-01480,PROD-04737,STORE-0478,decline,60.6,2026-03-21
SIG-01481,PROD-02060,STORE-0488,spike,37.6,2026-06-15
SIG-01482,PROD-04706,STORE-0404,seasonal,-17.5,2026-05-07
SIG-01483,PROD-02612,STORE-0112,seasonal,70.8,2026-07-02
SIG-01484,PROD-00355,STORE-0109,decline,59.6,2026-05-23
SIG-01485,PROD-00030,STORE-0421,decline,-4.0,2026-01-08
SIG-01486,PROD-04501,STORE-0500,spike,-2.8,2026-05-27
SIG-01487,PROD-01593,STORE-0464,seasonal,72.8,2026-01-08
SIG-01488,PROD-00599,STORE-0086,seasonal,10.9,2026-08-23
SIG-01489,PROD-01319,STORE-0217,decline,-34.4,2026-08-24
SIG-01490,PROD-04322,STORE-0007,decline,38.2,2026-07-18
SIG-01491,PROD-04840,STORE-0314,spike,8.5,2026-04-08
SIG-01492,PROD-03972,STORE-0201,seasonal,61.5,2026-03-23
SIG-01493,PROD-01862,STORE-0020,decline,-12.0,2026-07-16
SIG-01494,PROD-00717,STORE-0283,spike,57.2,2026-07-20
SIG-01495,PROD-04208,STORE-0471,decline,-22.3,2026-03-10
SIG-01496,PROD-01255,STORE-0378,spike,35.6,2026-07-27
SIG-01497,PROD-01408,STORE-0438,seasonal,16.5,2026-04-12
SIG-01498,PROD-02723,STORE-0007,seasonal,32.1,2026-07-28
SIG-01499,PROD-04088,STORE-0274,seasonal,-17.1,2026-03-15
SIG-01500,PROD-03685,STORE-0451,spike,6.6,2026-02-11
SIG-01501,PROD-02056,STORE-0189,seasonal,-29.8,2026-04-25
SIG-01502,PROD-04329,STORE-0059,spike,-2.5,2026-02-06
SIG-01503,PROD-02533,STORE-0234,spike,-20.5,2026-08-27
SIG-01504,PROD-01201,STORE-0207,seasonal,-2.4,2026-05-03
SIG-01505,PROD-03905,STORE-0160,spike,46.0,2026-06-21
SIG-01506,PROD-04765,STORE-0442,seasonal,-3.0,2026-04-17
SIG-01507,PROD-02791,STORE-0205,spike,11.5,2026-01-18
SIG-01508,PROD-03514,STORE-0064,decline,28.0,2026-03-24
SIG-01509,PROD-03489,STORE-0069,spike,75.9,2026-07-18
SIG-01510,PROD-03279,STORE-0188,seasonal,46.2,2026-05-26
SIG-01511,PROD-03294,STORE-0057,seasonal,66.2,2026-05-19
SIG-01512,PROD-00077,STORE-0039,decline,-26.5,2026-05-21
SIG-01513,PROD-04431,STORE-0490,spike,15.8,2026-05-14
SIG-01514,PROD-02973,STORE-0224,decline,14.6,2026-03-13
SIG-01515,PROD-01877,STORE-0141,spike,35.0,2026-08-06
SIG-01516,PROD-01075,STORE-0457,decline,-26.9,2026-08-26
SIG-01517,PROD-02293,STORE-0185,spike,49.8,2026-08-21
SIG-01518,PROD-04991,STORE-0031,decline,75.5,2026-08-05
SIG-01519,PROD-01673,STORE-0082,decline,18.6,2026-06-12
SIG-01520,PROD-02177,STORE-0275,spike,-29.1,2026-05-10
SIG-01521,PROD-02091,STORE-0038,spike,-15.0,2026-04-05
SIG-01522,PROD-00654,STORE-0362,seasonal,-9.1,2026-06-25
SIG-01523,PROD-02204,STORE-0397,spike,43.3,2026-03-14
SIG-01524,PROD-00380,STORE-0350,decline,29.8,2026-07-28
SIG-01525,PROD-01534,STORE-0336,spike,-0.6,2026-02-02
SIG-01526,PROD-01773,STORE-0107,decline,50.3,2026-06-01
SIG-01527,PROD-02723,STORE-0476,decline,31.8,2026-02-15
SIG-01528,PROD-01995,STORE-0436,decline,-21.8,2026-05-18
SIG-01529,PROD-03390,STORE-0250,seasonal,38.8,2026-01-11
SIG-01530,PROD-01447,STORE-0319,decline,23.1,2026-03-01
SIG-01531,PROD-01137,STORE-0291,decline,24.4,2026-08-16
SIG-01532,PROD-01135,STORE-0342,spike,13.0,2026-02-06
SIG-01533,PROD-04770,STORE-0071,decline,-39.1,2026-05-21
SIG-01534,PROD-01110,STORE-0055,seasonal,46.7,2026-07-17
SIG-01535,PROD-00277,STORE-0306,spike,-31.6,2026-05-03
SIG-01536,PROD-01719,STORE-0294,seasonal,54.1,2026-07-20
SIG-01537,PROD-02439,STORE-0024,seasonal,-20.4,2026-08-20
SIG-01538,PROD-00029,STORE-0054,seasonal,-38.1,2026-03-16
SIG-01539,PROD-02848,STORE-0388,seasonal,-29.1,2026-01-05
SIG-01540,PROD-00433,STORE-0462,seasonal,15.8,2026-06-21
SIG-01541,PROD-01582,STORE-0257,seasonal,71.3,2026-02-21
SIG-01542,PROD-00289,STORE-0238,spike,-1.4,2026-04-11
SIG-01543,PROD-04896,STORE-0191,spike,58.9,2026-04-27
SIG-01544,PROD-02144,STORE-0333,spike,29.3,2026-04-06
SIG-01545,PROD-00961,STORE-0236,decline,9.9,2026-07-18
SIG-01546,PROD-04040,STORE-0068,decline,26.0,2026-08-09
SIG-01547,PROD-01239,STORE-0011,decline,45.9,2026-07-25
SIG-01548,PROD-00480,STORE-0329,seasonal,70.1,2026-05-01
SIG-01549,PROD-02600,STORE-0130,spike,-34.4,2026-02-04
SIG-01550,PROD-01711,STORE-0058,decline,0.0,2026-03-09
SIG-01551,PROD-02661,STORE-0419,seasonal,-18.3,2026-07-15
SIG-01552,PROD-00511,STORE-0222,decline,-20.3,2026-04-15
SIG-01553,PROD-04983,STORE-0415,seasonal,1.9,2026-06-10
SIG-01554,PROD-02190,STORE-0017,spike,68.5,2026-08-13
SIG-01555,PROD-04359,STORE-0294,seasonal,67.4,2026-03-04
SIG-01556,PROD-02688,STORE-0115,spike,47.5,2026-02-27
SIG-01557,PROD-02200,STORE-0168,spike,34.2,2026-02-03
SIG-01558,PROD-01499,STORE-0338,spike,77.0,2026-05-12
SIG-01559,PROD-03799,STORE-0377,spike,31.6,2026-08-08
SIG-01560,PROD-03884,STORE-0068,decline,38.6,2026-03-19
SIG-01561,PROD-00769,STORE-0071,decline,12.2,2026-06-13
SIG-01562,PROD-04400,STORE-0125,decline,15.8,2026-02-14
SIG-01563,PROD-00503,STORE-0353,spike,54.1,2026-08-14
SIG-01564,PROD-04530,STORE-0368,decline,19.6,2026-07-20
SIG-01565,PROD-01852,STORE-0452,spike,-6.1,2026-08-14
SIG-01566,PROD-02099,STORE-0219,seasonal,65.0,2026-03-15
SIG-01567,PROD-02736,STORE-0254,decline,18.6,2026-05-26
SIG-01568,PROD-03769,STORE-0374,seasonal,51.1,2026-06-01
SIG-01569,PROD-04575,STORE-0295,decline,-37.6,2026-06-28
SIG-01570,PROD-02079,STORE-0302,seasonal,-29.8,2026-08-01
SIG-01571,PROD-04105,STORE-0122,seasonal,78.2,2026-06-06
SIG-01572,PROD-03909,STORE-0032,decline,64.7,2026-04-12
SIG-01573,PROD-01501,STORE-0307,seasonal,14.3,2026-03-12
SIG-01574,PROD-01169,STORE-0041,decline,-34.3,2026-06-06
SIG-01575,PROD-03912,STORE-0271,decline,10.8,2026-06-12
SIG-01576,PROD-01954,STORE-0010,decline,29.6,2026-03-16
SIG-01577,PROD-03318,STORE-0114,decline,30.5,2026-05-06
SIG-01578,PROD-04976,STORE-0133,decline,66.7,2026-03-24
SIG-01579,PROD-01195,STORE-0421,seasonal,49.2,2026-07-07
SIG-01580,PROD-03017,STORE-0167,seasonal,77.7,2026-07-12
SIG-01581,PROD-01573,STORE-0084,seasonal,21.7,2026-07-09
SIG-01582,PROD-03777,STORE-0186,spike,-18.5,2026-03-12
SIG-01583,PROD-01084,STORE-0266,seasonal,9.6,2026-01-05
SIG-01584,PROD-02271,STORE-0436,spike,32.5,2026-06-19
SIG-01585,PROD-02255,STORE-0406,decline,15.7,2026-07-03
SIG-01586,PROD-00400,STORE-0321,decline,2.1,2026-07-18
SIG-01587,PROD-01222,STORE-0195,spike,67.6,2026-01-07
SIG-01588,PROD-00758,STORE-0284,decline,-10.3,2026-06-19
SIG-01589,PROD-00469,STORE-0087,decline,20.1,2026-01-21
SIG-01590,PROD-04075,STORE-0007,decline,13.3,2026-04-04
SIG-01591,PROD-02136,STORE-0230,decline,35.7,2026-07-01
SIG-01592,PROD-00709,STORE-0370,decline,-28.0,2026-05-02
SIG-01593,PROD-01616,STORE-0356,spike,60.8,2026-02-04
SIG-01594,PROD-02411,STORE-0103,seasonal,25.9,2026-07-25
SIG-01595,PROD-03272,STORE-0413,decline,-26.2,2026-02-25
SIG-01596,PROD-00524,STORE-0121,seasonal,-11.7,2026-02-08
SIG-01597,PROD-03050,STORE-0069,decline,-14.5,2026-04-08
SIG-01598,PROD-04116,STORE-0160,decline,50.6,2026-02-24
SIG-01599,PROD-03992,STORE-0380,seasonal,2.7,2026-07-23
SIG-01600,PROD-01248,STORE-0029,spike,56.2,2026-07-17
SIG-01601,PROD-02228,STORE-0397,seasonal,17.4,2026-08-26
SIG-01602,PROD-04524,STORE-0104,spike,71.4,2026-07-26
SIG-01603,PROD-01569,STORE-0090,spike,-4.6,2026-01-05
SIG-01604,PROD-03529,STORE-0404,spike,-13.0,2026-07-25
SIG-01605,PROD-04635,STORE-0052,decline,9.1,2026-06-15
SIG-01606,PROD-03801,STORE-0366,spike,3.8,2026-03-02
SIG-01607,PROD-04354,STORE-0194,decline,-11.2,2026-05-08
SIG-01608,PROD-01027,STORE-0498,decline,63.5,2026-01-24
SIG-01609,PROD-04044,STORE-0459,decline,1.9,2026-08-18
SIG-01610,PROD-01303,STORE-0475,seasonal,48.8,2026-05-07
SIG-01611,PROD-02382,STORE-0433,spike,-36.9,2026-08-06
SIG-01612,PROD-03499,STORE-0111,seasonal,69.6,2026-02-09
SIG-01613,PROD-01900,STORE-0391,decline,62.0,2026-01-01
SIG-01614,PROD-00071,STORE-0081,seasonal,-38.4,2026-06-13
SIG-01615,PROD-03636,STORE-0364,decline,-37.1,2026-06-21
SIG-01616,PROD-02942,STORE-0390,spike,4.0,2026-04-12
SIG-01617,PROD-01003,STORE-0314,spike,79.6,2026-01-19
SIG-01618,PROD-04206,STORE-0368,seasonal,15.2,2026-01-24
SIG-01619,PROD-03404,STORE-0223,spike,26.7,2026-03-06
SIG-01620,PROD-04917,STORE-0270,seasonal,45.7,2026-02-13
SIG-01621,PROD-01640,STORE-0390,seasonal,44.9,2026-06-02
SIG-01622,PROD-00947,STORE-0348,spike,-31.1,2026-01-19
SIG-01623,PROD-03028,STORE-0102,spike,78.0,2026-05-10
SIG-01624,PROD-01420,STORE-0348,decline,-39.8,2026-03-10
SIG-01625,PROD-02438,STORE-0181,seasonal,31.5,2026-05-19
SIG-01626,PROD-01117,STORE-0165,decline,-5.4,2026-04-07
SIG-01627,PROD-00581,STORE-0363,seasonal,73.3,2026-01-22
SIG-01628,PROD-00969,STORE-0178,spike,-37.4,2026-06-10
SIG-01629,PROD-01086,STORE-0176,spike,-35.1,2026-04-23
SIG-01630,PROD-02459,STORE-0163,decline,8.9,2026-07-24
SIG-01631,PROD-04282,STORE-0425,spike,57.6,2026-02-16
SIG-01632,PROD-00206,STORE-0249,seasonal,-4.6,2026-06-26
SIG-01633,PROD-02704,STORE-0334,spike,73.1,2026-04-14
SIG-01634,PROD-03057,STORE-0132,seasonal,-29.0,2026-01-27
SIG-01635,PROD-01581,STORE-0430,decline,63.2,2026-02-17
SIG-01636,PROD-01313,STORE-0427,decline,1.9,2026-05-03
SIG-01637,PROD-04419,STORE-0475,seasonal,11.5,2026-06-15
SIG-01638,PROD-02158,STORE-0357,spike,40.6,2026-03-15
SIG-01639,PROD-00466,STORE-0446,decline,70.8,2026-06-22
SIG-01640,PROD-03986,STORE-0435,spike,17.2,2026-05-17
SIG-01641,PROD-00522,STORE-0307,spike,71.9,2026-08-21
SIG-01642,PROD-02621,STORE-0056,seasonal,62.9,2026-05-16
SIG-01643,PROD-03989,STORE-0454,seasonal,-3.4,2026-05-18
SIG-01644,PROD-03918,STORE-0445,decline,71.2,2026-01-20
SIG-01645,PROD-00296,STORE-0390,decline,-9.5,2026-05-02
SIG-01646,PROD-00585,STORE-0111,decline,60.5,2026-04-07
SIG-01647,PROD-02127,STORE-0031,seasonal,70.6,2026-05-22
SIG-01648,PROD-04651,STORE-0119,decline,-23.7,2026-07-06
SIG-01649,PROD-03524,STORE-0345,seasonal,19.5,2026-06-19
SIG-01650,PROD-04523,STORE-0303,decline,29.6,2026-08-11
SIG-01651,PROD-04647,STORE-0179,seasonal,-33.6,2026-08-09
SIG-01652,PROD-02685,STORE-0130,decline,59.8,2026-01-02
SIG-01653,PROD-01151,STORE-0024,decline,-27.7,2026-07-02
SIG-01654,PROD-01923,STORE-0338,decline,-27.9,2026-01-01
SIG-01655,PROD-04651,STORE-0413,seasonal,49.3,2026-05-24
SIG-01656,PROD-01328,STORE-0253,spike,-33.8,2026-04-05
SIG-01657,PROD-03839,STORE-0361,seasonal,24.1,2026-05-02
SIG-01658,PROD-00021,STORE-0013,decline,72.4,2026-06-04
SIG-01659,PROD-01767,STORE-0101,spike,-27.1,2026-07-23
SIG-01660,PROD-01767,STORE-0390,seasonal,65.6,2026-05-19
SIG-01661,PROD-04633,STORE-0112,spike,42.3,2026-06-09
SIG-01662,PROD-01507,STORE-0483,decline,4.2,2026-06-02
SIG-01663,PROD-03183,STORE-0321,seasonal,-36.9,2026-01-24
SIG-01664,PROD-04306,STORE-0070,spike,-11.8,2026-07-19
SIG-01665,PROD-02603,STORE-0119,spike,73.8,2026-08-08
SIG-01666,PROD-00228,STORE-0477,decline,-21.6,2026-02-13
SIG-01667,PROD-02265,STORE-0085,decline,-4.0,2026-01-15
SIG-01668,PROD-03731,STORE-0067,seasonal,25.7,2026-02-24
SIG-01669,PROD-00479,STORE-0348,decline,-10.1,2026-01-27
SIG-01670,PROD-00972,STORE-0265,decline,8.7,2026-03-19
SIG-01671,PROD-03094,STORE-0243,spike,29.4,2026-07-12
SIG-01672,PROD-00296,STORE-0201,seasonal,12.0,2026-03-09
SIG-01673,PROD-01110,STORE-0187,seasonal,31.8,2026-04-23
SIG-01674,PROD-01458,STORE-0135,decline,-33.3,2026-08-21
SIG-01675,PROD-02591,STORE-0430,seasonal,8.1,2026-03-26
SIG-01676,PROD-00967,STORE-0042,decline,50.9,2026-05-12
SIG-01677,PROD-02287,STORE-0025,spike,45.2,2026-01-01
SIG-01678,PROD-02802,STORE-0233,seasonal,23.2,2026-05-09
SIG-01679,PROD-02279,STORE-0113,spike,-35.3,2026-02-06
SIG-01680,PROD-00051,STORE-0232,seasonal,57.5,2026-07-01
SIG-01681,PROD-04698,STORE-0212,spike,39.2,2026-03-01
SIG-01682,PROD-04319,STORE-0437,decline,61.5,2026-06-04
SIG-01683,PROD-02090,STORE-0103,spike,40.0,2026-05-07
SIG-01684,PROD-00619,STORE-0053,spike,-4.1,2026-05-11
SIG-01685,PROD-00552,STORE-0045,decline,47.8,2026-01-17
SIG-01686,PROD-04673,STORE-0155,spike,26.6,2026-08-08
SIG-01687,PROD-03812,STORE-0146,decline,57.0,2026-03-19
SIG-01688,PROD-02665,STORE-0496,spike,-0.2,2026-02-05
SIG-01689,PROD-00027,STORE-0421,spike,29.7,2026-02-14
SIG-01690,PROD-04782,STORE-0197,spike,1.7,2026-07-17
SIG-01691,PROD-01348,STORE-0243,spike,1.8,2026-01-03
SIG-01692,PROD-04570,STORE-0397,seasonal,-20.3,2026-07-27
SIG-01693,PROD-00923,STORE-0461,decline,-11.5,2026-01-07
SIG-01694,PROD-04080,STORE-0438,seasonal,58.7,2026-06-10
SIG-01695,PROD-04981,STORE-0351,seasonal,-3.6,2026-05-17
SIG-01696,PROD-01526,STORE-0328,spike,59.3,2026-05-19
SIG-01697,PROD-01658,STORE-0284,spike,32.2,2026-08-09
SIG-01698,PROD-01071,STORE-0404,seasonal,39.1,2026-06-25
SIG-01699,PROD-01859,STORE-0218,seasonal,-16.5,2026-04-26
SIG-01700,PROD-04371,STORE-0400,decline,-11.3,2026-06-09
SIG-01701,PROD-01165,STORE-0052,decline,5.3,2026-01-05
SIG-01702,PROD-03311,STORE-0002,seasonal,77.4,2026-04-04
SIG-01703,PROD-00460,STORE-0351,spike,14.9,2026-02-21
SIG-01704,PROD-03865,STORE-0446,decline,55.6,2026-01-04
SIG-01705,PROD-03977,STORE-0207,seasonal,50.2,2026-05-10
SIG-01706,PROD-04111,STORE-0498,seasonal,51.2,2026-05-25
SIG-01707,PROD-02726,STORE-0056,decline,49.6,2026-07-07
SIG-01708,PROD-04165,STORE-0362,spike,-31.4,2026-07-09
SIG-01709,PROD-03090,STORE-0461,decline,0.7,2026-08-03
SIG-01710,PROD-04683,STORE-0176,spike,9.4,2026-03-22
SIG-01711,PROD-01289,STORE-0392,spike,-33.0,2026-06-01
SIG-01712,PROD-03729,STORE-0353,seasonal,64.9,2026-05-02
SIG-01713,PROD-04735,STORE-0056,seasonal,64.6,2026-04-09
SIG-01714,PROD-03356,STORE-0410,spike,58.3,2026-03-17
SIG-01715,PROD-04746,STORE-0423,spike,65.7,2026-05-13
SIG-01716,PROD-03494,STORE-0144,spike,68.3,2026-08-24
SIG-01717,PROD-01519,STORE-0408,decline,29.5,2026-02-26
SIG-01718,PROD-00952,STORE-0003,seasonal,64.5,2026-06-12
SIG-01719,PROD-03988,STORE-0028,seasonal,-21.8,2026-02-20
SIG-01720,PROD-03987,STORE-0380,spike,-37.5,2026-07-21
SIG-01721,PROD-01702,STORE-0043,seasonal,6.5,2026-03-21
SIG-01722,PROD-01471,STORE-0263,seasonal,-2.8,2026-06-23
SIG-01723,PROD-03934,STORE-0158,spike,59.7,2026-06-18
SIG-01724,PROD-04120,STORE-0410,seasonal,3.3,2026-04-16
SIG-01725,PROD-00452,STORE-0319,spike,72.9,2026-07-08
SIG-01726,PROD-04418,STORE-0054,spike,25.7,2026-02-25
SIG-01727,PROD-04205,STORE-0362,seasonal,-7.2,2026-01-27
SIG-01728,PROD-04268,STORE-0316,decline,72.9,2026-03-09
SIG-01729,PROD-04615,STORE-0322,spike,16.3,2026-02-09
SIG-01730,PROD-01728,STORE-0194,spike,10.6,2026-03-16
SIG-01731,PROD-00109,STORE-0411,decline,-33.3,2026-01-12
SIG-01732,PROD-02502,STORE-0440,seasonal,72.8,2026-07-02
SIG-01733,PROD-03436,STORE-0436,spike,51.0,2026-05-28
SIG-01734,PROD-01729,STORE-0061,decline,-39.5,2026-01-25
SIG-01735,PROD-03892,STORE-0049,spike,-29.5,2026-08-15
SIG-01736,PROD-00801,STORE-0475,spike,50.0,2026-03-05
SIG-01737,PROD-02030,STORE-0152,spike,30.5,2026-07-24
SIG-01738,PROD-02278,STORE-0042,decline,60.1,2026-01-25
SIG-01739,PROD-03858,STORE-0198,spike,-12.5,2026-06-20
SIG-01740,PROD-02854,STORE-0249,spike,-32.2,2026-04-10
SIG-01741,PROD-03935,STORE-0121,spike,-30.6,2026-08-17
SIG-01742,PROD-00382,STORE-0032,seasonal,0.8,2026-06-10
SIG-01743,PROD-04112,STORE-0403,spike,39.7,2026-07-03
SIG-01744,PROD-02485,STORE-0456,decline,-0.3,2026-06-21
SIG-01745,PROD-03395,STORE-0321,decline,22.0,2026-03-14
SIG-01746,PROD-04294,STORE-0137,seasonal,57.0,2026-07-01
SIG-01747,PROD-04031,STORE-0040,seasonal,-18.7,2026-07-01
SIG-01748,PROD-04201,STORE-0165,decline,9.4,2026-07-19
SIG-01749,PROD-04138,STORE-0128,spike,68.9,2026-04-12
SIG-01750,PROD-04501,STORE-0269,seasonal,-13.4,2026-06-20
SIG-01751,PROD-01792,STORE-0356,spike,-4.3,2026-04-09
SIG-01752,PROD-00424,STORE-0069,seasonal,23.2,2026-07-10
SIG-01753,PROD-03559,STORE-0383,decline,75.4,2026-07-13
SIG-01754,PROD-02868,STORE-0496,seasonal,-2.0,2026-07-05
SIG-01755,PROD-02547,STORE-0141,decline,54.7,2026-07-09
SIG-01756,PROD-02708,STORE-0045,spike,55.7,2026-03-04
SIG-01757,PROD-03364,STORE-0289,decline,26.3,2026-01-18
SIG-01758,PROD-00103,STORE-0310,decline,-22.9,2026-02-18
SIG-01759,PROD-03369,STORE-0360,decline,-12.7,2026-05-13
SIG-01760,PROD-01077,STORE-0297,spike,43.6,2026-06-27
SIG-01761,PROD-00281,STORE-0475,decline,43.1,2026-04-10
SIG-01762,PROD-02443,STORE-0018,decline,31.1,2026-07-19
SIG-01763,PROD-01456,STORE-0120,seasonal,56.9,2026-08-27
SIG-01764,PROD-01522,STORE-0496,spike,33.0,2026-05-13
SIG-01765,PROD-01797,STORE-0006,spike,65.3,2026-03-23
SIG-01766,PROD-00212,STORE-0304,seasonal,2.3,2026-07-11
SIG-01767,PROD-03955,STORE-0286,seasonal,22.7,2026-05-15
SIG-01768,PROD-04257,STORE-0353,seasonal,45.9,2026-03-26
SIG-01769,PROD-01422,STORE-0079,decline,63.8,2026-04-27
SIG-01770,PROD-03378,STORE-0156,spike,-11.9,2026-03-14
SIG-01771,PROD-03532,STORE-0209,decline,-12.7,2026-02-13
SIG-01772,PROD-03937,STORE-0380,seasonal,27.9,2026-08-22
SIG-01773,PROD-01929,STORE-0337,seasonal,-11.3,2026-01-19
SIG-01774,PROD-02559,STORE-0110,seasonal,45.3,2026-08-08
SIG-01775,PROD-00349,STORE-0103,decline,36.7,2026-06-07
SIG-01776,PROD-00428,STORE-0237,decline,36.1,2026-07-12
SIG-01777,PROD-01987,STORE-0001,spike,-7.4,2026-02-10
SIG-01778,PROD-01839,STORE-0074,spike,19.2,2026-08-19
SIG-01779,PROD-02162,STORE-0498,decline,43.1,2026-03-08
SIG-01780,PROD-00268,STORE-0209,seasonal,-16.3,2026-06-23
SIG-01781,PROD-04752,STORE-0099,decline,49.0,2026-07-10
SIG-01782,PROD-03802,STORE-0231,spike,-20.0,2026-05-08
SIG-01783,PROD-00229,STORE-0183,decline,4.9,2026-06-10
SIG-01784,PROD-04808,STORE-0496,spike,55.8,2026-04-17
SIG-01785,PROD-03858,STORE-0038,seasonal,-8.9,2026-05-15
SIG-01786,PROD-03259,STORE-0346,spike,66.0,2026-07-25
SIG-01787,PROD-00871,STORE-0034,seasonal,-36.4,2026-01-14
SIG-01788,PROD-00637,STORE-0484,decline,60.4,2026-08-02
